symbol,date,open,high,low,close,volume,symbol_encoded,year,month,day
ADM,2014-01-15,-0.7661606140384416,-0.7654860798028496,-0.7665463325323694,42.45,-0.09689114669017089,9,2014,1,15
ADP,2014-01-15,-0.16612662635479788,-0.16769254429999622,-0.15871666815968444,80.09,-0.3312686150528769,10,2014,1,15
ADSK,2014-01-15,-0.6000612402851838,-0.5947782484059481,-0.5935617105169608,53.29,-0.22293003716592316,12,2014,1,15
ADS,2014-01-15,2.6503757353170303,2.644718977963956,2.6462843232036684,253.5,-0.4552034987116571,11,2014,1,15
AEE,2014-01-15,-0.8639037070547817,-0.8669624017998966,-0.8661680228383005,35.95,-0.3912546806019237,13,2014,1,15
AEP,2014-01-15,-0.7009985520275481,-0.706054464427632,-0.699081521984557,46.45,-0.35641344310285344,14,2014,1,15
AES,2014-01-15,-1.2131116692773762,-1.213594137219716,-1.216823445326331,14.3,-0.04231935519348742,15,2014,1,15
AET,2014-01-15,-0.30028381284781386,-0.3017298045079338,-0.2960701746642125,71.4,-0.29443179163264077,16,2014,1,15
AFL,2014-01-15,-0.41032464795934714,-0.4131640833364667,-0.4015835224373848,64.94,-0.3317386468082373,17,2014,1,15
AGN,2014-01-15,1.5268092984380217,1.503031324093753,1.482576938389129,181.8,-0.34313023522643565,18,2014,1,15
AIG,2014-01-15,-0.6129978261255817,-0.6150102876826178,-0.622648335423802,52.11,0.01648156394889548,19,2014,1,15
AAL,2014-01-16,-0.9816106671087731,-0.9777644294010336,-0.9829992995474461,29.34,0.1150267148390703,0,2014,1,16
AAPL,2014-01-16,-0.17776476228306706,-0.18492297087460396,-0.17323897360622775,79.1785,4.608358533152749,2,2014,1,16
AAP,2014-01-16,0.4283174785583035,0.4267816722590284,0.43012589384325717,117.88,-0.45734884266556763,1,2014,1,16
ABBV,2014-01-16,-0.643662325895414,-0.6421970904606429,-0.6384843867619711,50.5,-0.0687104444689635,3,2014,1,16
ABC,2014-01-16,-0.3162549064779348,-0.3251230999215831,-0.31142144892060075,70.5,-0.4152770806599016,4,2014,1,16
ABT,2014-01-16,-0.8124767855657923,-0.8149597383465812,-0.8099338813517409,39.54,-0.18062468470109205,5,2014,1,16
ACN,2014-01-16,-0.10958895490416966,-0.11047380822066435,-0.10329048847609243,84.12,-0.13897921192010362,6,2014,1,16
ADBE,2014-01-16,-0.4601544600853243,-0.46263774188019835,-0.456854573454807,61.63,-0.17780048517935632,7,2014,1,16
ADI,2014-01-16,-0.6375933103159681,-0.6440938441428307,-0.6431705652191845,49.82,-0.2546657331638361,8,2014,1,16
ADM,2014-01-16,-0.7648829265480319,-0.7684892731329802,-0.7806048679040092,41.25,0.12389459977625135,9,2014,1,16
ADP,2014-01-16,-0.16548778260959293,-0.1736989309602575,-0.15871182038886647,79.81,-0.41812702680356667,10,2014,1,16
ADSK,2014-01-16,-0.5938325137694367,-0.5930395575306092,-0.5906530480262767,53.6,-0.2975776012068502,12,2014,1,16
ADS,2014-01-16,2.5952754622931127,2.6107354744914253,2.6341810553952105,254.96,-0.4650091308544717,11,2014,1,16
AEE,2014-01-16,-0.8696533007616252,-0.8702817207437252,-0.8668143922806748,36.17,-0.4175190858068686,13,2014,1,16
AEP,2014-01-16,-0.7019568176453553,-0.7046318991659911,-0.6979503754604021,46.58,-0.3697005708801879,14,2014,1,16
AES,2014-01-16,-1.215746899726346,-1.215174765288206,-1.2176314071292986,14.31,-0.13331513327296582,15,2014,1,16
AET,2014-01-16,-0.30779022685397067,-0.3153232058969463,-0.31804673570493697,70.23,-0.24204587942889155,16,2014,1,16
